1.La simulación es un método docente útil para el aprendizaje,2.Los escenarios donde se desarrolla la simulación son realistas.,3.La experiencia con simulación ha mejorado mis habilidades técnicas.,4.La simulación ayuda a desarrollar el razonamiento crítico y la toma de decisiones.,5.Los casos simulados se adaptan a mis conocimientos teóricos.,6.La experiencia con el simulador ha aumentado mi seguridad y confianza.,7.La simulación me ha ayudado a integrar teoría y práctica,8.Los talleres con el simulador me han motivado a aprender.,"9.En simulación, es útil el ver las propias actuaciones grabadas.",10.  La duración del caso es adecuada.,11.  La capacitación del profesorado es adecuada.,12.  La simulación fomenta la comunicación entre los miembros del equipo.,13.  La simulación clínica ayuda a priorizar la resolución de problemas clínicos.,14.  La interacción con la simulación ha mejorado mi competencia clínica.,"15.  En general, la experiencia con simulación clínica ha sido satisfactoria."
Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Neutral,Muy de acuerdo,De acuerdo,De acuerdo,Neutral,Neutral,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
Muy de acuerdo,Desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Neutral,Neutral,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Neutral,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo
De acuerdo,Neutral,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Neutral,Desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo
Muy de acuerdo,Neutral,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo
Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Neutral,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Neutral,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Neutral,Muy de acuerdo,Neutral,De acuerdo
Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Neutral,De acuerdo,Muy de acuerdo,Neutral,Neutral,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Neutral,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo
Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,Neutral,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Neutral,Neutral,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
Muy de acuerdo,Neutral,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Neutral,Neutral,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo
Muy de acuerdo,Neutral,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Neutral,Desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
Muy en desacuerdo,Desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo
Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo
Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
Muy de acuerdo,De acuerdo,Neutral,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Neutral,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo
Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo
Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,De acuerdo
De acuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,Neutral,Muy de acuerdo,De acuerdo,Neutral,Neutral,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Neutral,De acuerdo
Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo
Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Neutral,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo
Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
Neutral,De acuerdo,Desacuerdo,Neutral,Neutral,Desacuerdo,Neutral,Desacuerdo,Desacuerdo,De acuerdo,De acuerdo,Neutral,Desacuerdo,Muy en desacuerdo,Desacuerdo
Muy de acuerdo,Neutral,De acuerdo,De acuerdo,Neutral,Neutral,De acuerdo,De acuerdo,Muy en desacuerdo,Neutral,De acuerdo,Desacuerdo,Neutral,De acuerdo,Muy de acuerdo
Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Desacuerdo,De acuerdo,Neutral,Muy de acuerdo,Muy de acuerdo,De acuerdo
Muy de acuerdo,Neutral,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
